Census District,City/Town/Village,Total Population,Year,latitude,longitude,lat_decimals,lon_decimals,needs_reassign,good_coords,pop_clean
Gaborone,Extension 6 (Madirelo),503,2022,-24.6700365,25.8980138,7,7,False,True,503
Gaborone,Extension 7 (Sekgwa),"3,203",2022,-24.637970657710177,25.866234443551356,2,2,True,False,3203
Gaborone,Extension 9 (Phologolo),"1,746",2022,-24.6524619,25.9261038,7,7,False,True,1746
Gaborone,Extension 10 (Boitshoko),"1,185",2022,-24.6435935,25.9031885,7,7,False,True,1185
Gaborone,Extension 11 (Madibeng),763,2022,-24.6430231,25.8950568,7,7,False,True,763
Gaborone,Extension 12 (Mephato),"1,043",2022,-24.648526,25.8913605,6,7,False,True,1043
Gaborone,Extension 14 (Badiri Township),482,2022,-24.6766844,25.9142768,7,7,False,True,482
Gaborone,Extension 15 (Village),"4,809",2022,-24.6832292,25.8824891,7,7,False,True,4809
Gaborone,Extension 16A (Broadhurst),"3,909",2022,-24.6342465,25.9127984,7,7,False,True,3909
Gaborone,Gaborone International Commerce Park,623,2022,-24.6920494,25.8832284,7,7,False,True,623
Gaborone,Kgale Mews,23,2022,-24.6923527,25.8782086,7,7,False,True,23
Gaborone,Kgale Hill Township (Extension 28),506,2022,-24.6414325,25.9224079,7,7,False,True,506
Gaborone,Maruapula (Extension 39),522,2022,-24.6480517,25.9320005,7,7,False,True,522
Gaborone,WUC Sewage Ponds (Extension 67),155,2022,-24.60902143635311,25.948537605669053,2,2,True,False,155
Gaborone,Madirelo (Extension 1),70,2022,-24.6700365,25.8980138,7,7,False,True,70
Gaborone,Gaborone West Extension 13,2,2022,-24.6580003,25.9077037,7,7,False,True,2
Gaborone,Broadhurst Industrial (Extension 16),2,2022,-24.6239018,25.9243893,7,7,False,True,2
Gaborone,Partial (Extension 17),527,2022,-24.6755145,25.8832284,7,7,False,True,527
Gaborone,Partial (Extension 18),"1,323",2022,-24.6782788,25.8869248,7,7,False,True,1323
Gaborone,Tshimotharo (Extension 19),"1,247",2022,-24.6359333,25.9237218,7,7,False,True,1247
Gaborone,Broadhust Industrial (Extension 20),"1,334",2022,-24.6239018,25.9243893,7,7,False,True,1334
Gaborone,Ginger (Extension 21),914,2022,-24.6727672,25.8869248,7,7,False,True,914
Gaborone,Ginger (Extension 22),"1,721",2022,-24.6354008,25.936452,7,6,False,True,1721
Gaborone,Maruapula (Extension 23),"2,911",2022,-24.6480517,25.9320005,7,7,False,True,2911
Gaborone,Maruapula (Extension 24),454,2022,-24.6480517,25.9320005,7,7,False,True,454
Gaborone,Broadhurst (Extension 25),"4,180",2022,-24.6298903,25.936452,7,6,False,True,4180
Gaborone,Broadhurst (Extension 26),"3,347",2022,-24.6685797,25.8647455,7,7,False,True,3347
Gaborone,Broadhurst (Extension 27,"6,638",2022,-24.6287689,25.9275821,7,7,False,True,6638
Gaborone,Partial (Extension 28),520,2022,-24.6414325,25.9224079,7,7,False,True,520
Gaborone,Ginger (Extension 29),682,2022,-24.6602917,25.857352,7,6,False,True,682
Gaborone,Ginger (Extension 30),151,2022,-24.6259708,25.9091023,7,7,False,True,151
Gaborone,Tsholofelo (Extension 31),"1,254",2022,-24.63355531524526,25.88985367626614,2,2,True,False,1254
Gaborone,Tsholofelo (Extension 32),"1,892",2022,-24.61027801930618,25.970861389055553,2,2,True,False,1892
Gaborone,Tawana (Extention 33),"2,745",2022,-24.63616,25.9061454,5,7,False,True,2745
Gaborone,Tshweneng (Extension 35),265,2022,-24.6580003,25.9077037,7,7,False,True,265
Gaborone,Phiring (Extension 36),490,2022,-24.666380576090713,25.9440282618272,2,2,True,False,490
Gaborone,Tshweneng (Extension 37),"1,358",2022,-24.6580003,25.9077037,7,7,False,True,1358
Gaborone,Tshwenyana (Extension 38),"1,012",2022,-24.611657,25.9157552,6,7,False,True,1012
Gaborone,Tapologo Estate (Extension 40),178,2022,-24.6158475,25.940702,7,6,False,True,178
Gaborone,Tsholofelo (Extension 41),213,2022,-24.607291654677297,25.99205780662638,2,2,True,False,213
Gaborone,Tsholofelo (Extension 42),340,2022,-24.621615,25.9470081,6,7,False,True,340
Gaborone,Phiring (Extension 43),"3,216",2022,-24.6196825,25.9451991,7,7,False,True,3216
Gaborone,Tshweneng (Extension 44),134,2022,-24.6119724,25.9327562,7,7,False,True,134
Gaborone,Phiring (Extension 45),305,2022,-24.6196825,25.9451991,7,7,False,True,305
Gaborone,Taung (Extension 46),"1,750",2022,-24.6213072,25.9271244,7,7,False,True,1750
Gaborone,Tshwenyana (Extension 47),90,2022,-24.6133542,25.9346041,7,7,False,True,90
Gaborone,Ledumang (Extension 48),"5,901",2022,-24.60897,25.9372693,5,7,False,True,5901
Gaborone,Tshweneng Extension 49,136,2022,-24.61001903391475,25.974879967695347,2,2,True,False,136
Gaborone,Tsholofelo (Extension 50),178,2022,-24.661592809563537,25.847526971186845,2,2,True,False,178
Gaborone,Tshweneng (Extension 51),191,2022,-24.6580003,25.9077037,7,7,False,True,191
Gaborone,Tshweneng (Extension 52),79,2022,-24.6580003,25.9077037,7,7,False,True,79
Gaborone,Tshweneng (Extension 53),158,2022,-24.6580003,25.9077037,7,7,False,True,158
Gaborone,Tshweneng (Extension 54),124,2022,-24.6580003,25.9077037,7,7,False,True,124
Gaborone,Industrial Area,4,2022,-24.628319563653264,25.928787773040774,2,2,True,False,4
Gaborone,Maruapula Extension,"1,808",2022,-24.6480517,25.9320005,7,7,False,True,1808
Gaborone,Maruapula Extension (Universal Estate),"2,194",2022,-24.6480517,25.9320005,7,7,False,True,2194
Gaborone,Morula Park,11,2022,-24.593899277246127,25.800518808034223,2,2,True,False,11
Gaborone,Acacia Park,"1,380",2022,-24.5611078,25.9807967,7,7,False,True,1380
Gaborone,Segodi Park,"2,023",2022,-24.5578239,25.9911427,7,7,False,True,2023
Gaborone,Talana Park,"2,121",2022,-24.5655281,25.9867087,7,7,False,True,2121
Gaborone,Mowana Park,"1,938",2022,-24.5732169,25.9748845,7,7,False,True,1938
Gaborone,Golf Estate,969,2022,-24.66355713939258,25.995491465443767,2,2,True,False,969
Gaborone,Teto Estate,"2,180",2022,-24.607620892575504,25.848824473172918,2,2,True,False,2180
Gaborone,Gaborone West Extension 69 (Block 10),"5,037",2022,-24.6580003,25.9077037,7,7,False,True,5037
Gaborone,Ledumang (Extension 70),740,2022,-24.582555229095433,25.92994002717767,2,2,True,False,740
Gaborone,Tsholofelo East (Extension 71),"1,566",2022,-24.59264244037284,25.966975074348298,2,2,True,False,1566
Gaborone,Tsholofelo East (Extension 72),"4,056",2022,-24.646079410252845,25.828627104236773,2,2,True,False,4056
Gaborone,Segoditshane (Extension 90),217,2022,-24.622428004406892,25.966719089659826,2,2,True,False,217
Gaborone,Sebele (Extension 95),"1,804",2022,-24.578208327572685,25.798851982818057,2,2,True,False,1804
Gaborone,Gaborone North (Extension 98),"6,024",2022,-24.5395866,25.9720286,7,7,False,True,6024
Gaborone,Bontleng (Extension 8),"4,736",2022,-24.6700761,25.9164944,7,7,False,True,4736
Gaborone,Old Naledi (Extension 13),"18,050",2022,-24.6865702,25.8980138,7,7,False,True,18050
Gaborone,Babusi (Extension 14),"2,109",2022,-24.6766844,25.9142768,7,7,False,True,2109
Gaborone,New Stance (Extension 15),"4,054",2022,-24.6832292,25.8824891,7,7,False,True,4054
Gaborone,Gaborone Dam Area,49,2022,-24.700161,25.926381,6,6,False,True,49
Gaborone,Conservation Area,61,2022,-24.626886087378143,25.885179019361427,2,2,True,False,61
Gaborone,Glen Valley,"3,132",2022,-24.5963307,25.9615816,7,7,False,True,3132
Gaborone,Village B.D.F Camp,883,2022,-24.6583849,25.9468528,7,7,False,True,883
Gaborone,Gaborone Village Prisons,947,2022,-24.6580003,25.9077037,7,7,False,True,947
Gaborone,University of Botswana,"4,306",2022,-24.6605376,25.9309113,7,7,False,True,4306
Gaborone,SSK Airport,69,2022,-24.5575861,25.9241017,7,7,False,True,69
Gaborone,Foreign Missions,247,2022,-24.67902232107934,25.891217749839793,2,2,True,False,247
Francistown,Block 1,"5,704",2022,-21.1880016,27.5180298,7,7,False,True,5704
Francistown,Block 3,"2,074",2022,-21.1956066,27.5136264,7,7,False,True,2074
Francistown,Block 4,"2,891",2022,-21.20210425968022,27.51810929575547,14,14,False,True,2891
Francistown,Block 5,"1,594",2022,-21.2037012,27.5297717,7,7,False,True,1594
Francistown,Block 6,508,2022,-21.2056598,27.5341748,7,7,False,True,508
Francistown,Block 7,"3,528",2022,-21.20125709681564,27.515704068635426,14,15,False,True,3528
Francistown,Block 8,"1,925",2022,-21.20193813937952,27.52815608750957,14,14,False,True,1925
Francistown,Block 9,"1,931",2022,-21.208058,27.528304,6,6,False,True,1931
Francistown,Block 10,346,2022,-21.2105707,27.533441,7,6,False,True,346
Francistown,Gerald Block 3,5,2022,-21.194090219529887,27.5327641236245,2,1,True,False,5
Francistown,Moselewapula (Gerald),"5,171",2022,-21.202101527474294,27.54218607530638,2,1,True,False,5171
Francistown,Kanana (Gerald) ension,"7,748",2022,-21.193128955002365,27.55666960246679,15,14,False,True,7748
Francistown,Somerset East (Extension 103),"1,956",2022,-21.1812478,27.5253686,7,7,False,True,1956
Francistown,Somerset Wast (Extension 104),"2,298",2022,-21.182405571368864,27.510382392412343,15,15,False,True,2298
Francistown,Satellite (Extension 105),"3,819",2022,-21.188195,27.5363763,6,7,False,True,3819
Francistown,Satellite North (Extension 106),"3,217",2022,-21.184851366542148,27.53650176118363,15,14,False,True,3217
Francistown,Minestone (Area A) Extension 107,986,2022,-21.170239,27.5180298,6,7,False,True,986
Francistown,CBD (Area C),57,2022,-21.17132637968295,27.51235591154598,14,14,False,True,57
Francistown,Area L,488,2022,-21.1606747,27.5180298,7,7,False,True,488
Francistown,Area G,407,2022,-21.1568331,27.516562,7,6,False,True,407
Francistown,Blue Town,"2,897",2022,-21.1620589,27.4945438,7,7,False,True,2897
Francistown,Government Camp,"1,517",2022,-21.154526,27.507988,6,6,False,True,1517
Francistown,Prison (Area S),127,2022,-21.1561187,27.5011495,7,7,False,True,127
Francistown,Area S,"1,732",2022,-21.1561187,27.5011495,7,7,False,True,1732
Francistown,Central Residential Area,984,2022,-21.16388707135134,27.513548323760094,14,15,False,True,984
Francistown,Light Industrial Area,"1,204",2022,-21.166348989029473,27.508196988035262,15,15,False,True,1204
Francistown,Somerset East Extension,"2,033",2022,-21.1812478,27.5253686,7,7,False,True,2033
Francistown,Area W,"1,438",2022,-21.1747346,27.5040853,7,7,False,True,1438
Francistown,River Side South,"1,036",2022,-21.1799034,27.5018835,7,7,False,True,1036
Francistown,Aero Drome (Extension 127),897,2022,-21.1685942,27.4923418,7,7,False,True,897
Francistown,White City (Extension 128),392,2022,-21.14275415244831,27.485185609336224,2,1,True,False,392
Francistown,River Side North (Ext 129),901,2022,-21.1671592,27.4985807,7,7,False,True,901
Francistown,Monarch West (Extension 131),"4,477",2022,-21.1462154,27.4952778,7,7,False,True,4477
Francistown,Monarch South(Extension 132),"3,400",2022,-21.1511672,27.4982137,7,7,False,True,3400
Francistown,Monarch East (Extension 133),"6,213",2022,-21.1451871,27.5011495,7,7,False,True,6213
Francistown,CBD Extension,72,2022,-21.1704571,27.5128925,7,7,False,True,72
Francistown,Area Donga (Extension 136),"4,960",2022,-21.1661005,27.5143603,7,7,False,True,4960
Francistown,Selepa,"5,126",2022,-21.186639952440125,27.554626114156545,15,15,False,True,5126
Francistown,Tati River North,"1,221",2022,-21.196016099134024,27.54345365091557,15,14,False,True,1221
Francistown,Tati River South,"1,603",2022,-21.205308,27.5442872,6,7,False,True,1603
Francistown,Phase 4 Industrial,40,2022,-21.19632840821436,27.518203541988044,14,15,False,True,40
Francistown,Airport,86,2022,-21.15681366158392,27.476166574510035,14,15,False,True,86
